year,dayAndNight,week,death,casualty,injuredPerson,location,accKind,violationLaw,roadKind,perpetrator,victim,Count
2018,Day,Wed,1,1,0,Seoul,Car and People,Violation of drivers laws,singleroad,a car,Pedestrian,1
2018,Night,Sun,1,1,0,Seoul,Car and People,Violation of drivers laws,crossroad,a car,Pedestrian,1
2018,Night,Sat,1,1,0,Seoul,Only Car,Violation of drivers laws,singleroad,a two-wheeled car,none,1
2018,Day,Thu,1,1,0,Seoul,Only Car,Violation of drivers laws,singleroad,a van,none,1
2018,Night,Mon,1,1,0,Seoul,Car and People,Violation of drivers laws,crossroad,a freight car,Pedestrian,1
2018,Night,Sun,1,1,0,Seoul,Car and People,Violation of drivers laws,singleroad,a car,Pedestrian,1
2018,Day,Mon,1,1,0,Seoul,Car and People,Violation of drivers laws,singleroad,a freight car,Pedestrian,1
2018,Night,Fri,1,1,0,Seoul,Car and People,Violation of drivers laws,singleroad,a car,Pedestrian,1
2018,Night,Tue,1,1,0,Seoul,Car and People,Violation of drivers laws,singleroad,a car,Pedestrian,1
2018,Day,Sun,1,1,0,Seoul,Car and People,Violation of drivers laws,crossroad,a van,Pedestrian,1
2018,Night,Thu,1,1,0,Seoul,Car and People,Violation of drivers laws,singleroad,a car,Pedestrian,1
2018,Day,Sun,1,1,0,Seoul,Car and Car,Violation of drivers laws,crossroad,자전거,자전거,1
2018,Day,Thu,1,1,0,Seoul,Car and People,Violation of drivers laws,Other,a freight car,Pedestrian,1
2018,Day,Tue,1,1,0,Seoul,Car and People,Violation of drivers laws,crossroad,a car,Pedestrian,1
2018,Night,Sat,1,1,0,Seoul,Car and People,Violation of drivers laws,singleroad,자전거,Pedestrian,1
2018,Day,Thu,1,1,0,Seoul,Car and People,Violation of drivers laws,crossroad,a freight car,Pedestrian,1
2018,Day,Sat,1,4,3,Seoul,Car and Car,Violation of drivers laws,singleroad,a car,special car,1
2018,Night,Thu,1,1,0,Seoul,Car and Car,Violation of drivers laws,singleroad,a car,construction machinery,1
2018,Night,Tue,1,1,0,Seoul,Car and People,Violation of drivers laws,crossroad,a van,Pedestrian,1
2018,Day,Fri,1,1,0,Seoul,Car and People,Violation of drivers laws,singleroad,a car,Pedestrian,1
2018,Night,Sun,1,4,3,Seoul,Car and People,Violation of drivers laws,singleroad,a car,Pedestrian,1
2018,Night,Wed,1,1,0,Seoul,Only Car,Violation of drivers laws,singleroad,a two-wheeled car,none,1
2018,Night,Tue,1,1,0,Seoul,Car and People,Violation of drivers laws,crossroad,a van,Pedestrian,1
2018,Night,Thu,1,4,3,Seoul,Car and Car,Violation of drivers laws,singleroad,a freight car,a freight car,1
2018,Night,Thu,1,1,0,Seoul,Car and Car,Violation of drivers laws,crossroad,a car,a two-wheeled car,1
2018,Night,Tue,1,1,0,Seoul,Car and People,Violation of drivers laws,singleroad,a van,Pedestrian,1
2018,Day,Mon,1,1,0,Seoul,Car and People,Violation of drivers laws,singleroad,a freight car,Pedestrian,1
2018,Night,Mon,1,1,0,Seoul,Car and People,Violation of drivers laws,singleroad,a van,Pedestrian,1
2018,Night,Thu,1,1,0,Seoul,Car and People,Violation of drivers laws,singleroad,a van,Pedestrian,1
2018,Day,Mon,1,1,0,Seoul,Car and People,Violation of drivers laws,singleroad,a car,Pedestrian,1
2018,Night,Fri,1,1,0,Busan,Car and People,Violation of drivers laws,singleroad,a car,Pedestrian,1
2018,Night,Wed,1,1,0,Busan,Car and People,Violation of drivers laws,crossroad,a car,Pedestrian,1
2018,Night,Sat,1,1,0,Busan,Car and People,Violation of drivers laws,singleroad,a car,Pedestrian,1
2018,Day,Wed,1,2,1,Busan,Only Car,Violation of drivers laws,crossroad,a two-wheeled car,none,1
2018,Night,Tue,1,2,1,Busan,Only Car,Violation of drivers laws,singleroad,a car,none,1
2018,Day,Tue,1,1,0,Busan,Car and People,Violation of drivers laws,singleroad,a car,Pedestrian,1
2018,Night,Thu,1,1,0,Busan,Car and People,Violation of drivers laws,singleroad,a car,Pedestrian,1
2018,Night,Mon,1,1,0,Busan,Car and People,Violation of drivers laws,singleroad,a van,Pedestrian,1
2018,Day,Wed,1,1,0,Busan,Car and People,Violation of drivers laws,crossroad,a car,Pedestrian,1
2018,Night,Sat,1,1,0,Busan,Car and People,Violation of drivers laws,singleroad,a car,Pedestrian,1
2018,Day,Fri,1,1,0,Busan,Car and People,Violation of drivers laws,singleroad,a car,Pedestrian,1
2018,Night,Thu,1,2,1,Busan,Car and Car,Violation of drivers laws,singleroad,a car,a freight car,1
2018,Night,Thu,1,1,0,Busan,Car and People,Violation of drivers laws,crossroad,a car,Pedestrian,1
2018,Day,Sat,1,1,0,Busan,Car and Car,Violation of drivers laws,crossroad,a van,a two-wheeled car,1
2018,Day,Tue,1,1,0,Busan,Car and People,Violation of drivers laws,singleroad,a car,Pedestrian,1
2018,Night,Fri,1,1,0,Busan,Only Car,Violation of drivers laws,singleroad,a freight car,none,1
2018,Night,Sun,1,1,0,Busan,Only Car,Violation of drivers laws,singleroad,a two-wheeled car,none,1
2018,Night,Sat,1,2,1,Busan,Car and Car,Violation of drivers laws,crossroad,a car,a two-wheeled car,1
2018,Night,Fri,1,1,0,Busan,Only Car,Violation of drivers laws,singleroad,a car,none,1
2018,Night,Sun,1,1,0,Gyeongsangnam,Car and People,Violation of drivers laws,singleroad,a car,Pedestrian,1
2018,Night,Mon,1,2,1,Gyeongsangnam,Car and Car,Violation of drivers laws,singleroad,a car,a car,1
2018,Night,Mon,2,5,3,Gyeongsangnam,Car and Car,Violation of drivers laws,singleroad,a car,a car,1
2018,Day,Wed,1,1,0,Gyeonggi,Car and People,Violation of drivers laws,crossroad,a car,Pedestrian,1
2018,Day,Fri,1,1,0,Gyeonggi,Car and People,Violation of drivers laws,singleroad,a freight car,Pedestrian,1
2018,Night,Sat,1,1,0,Gyeonggi,Car and People,Violation of drivers laws,singleroad,a car,Pedestrian,1
2018,Day,Fri,1,1,0,Gyeonggi,Car and People,Violation of drivers laws,singleroad,a van,Pedestrian,1
2018,Day,Thu,1,1,0,Gyeonggi,Car and People,Violation of drivers laws,crossroad,a freight car,Pedestrian,1
2018,Night,Wed,1,1,0,Gyeonggi,Car and People,Violation of drivers laws,singleroad,a car,Pedestrian,1
2018,Night,Tue,1,1,0,Gyeonggi,Car and People,Violation of drivers laws,singleroad,a car,Pedestrian,1
2018,Night,Sun,1,1,0,Gyeonggi,Car and People,Violation of drivers laws,singleroad,a car,Pedestrian,1
2018,Night,Thu,1,1,0,Gyeonggi,Car and People,Violation of drivers laws,crossroad,a freight car,Pedestrian,1
2018,Day,Sun,1,2,1,Gyeonggi,Car and Car,Violation of drivers laws,crossroad,a two-wheeled car,a van,1
2018,Day,Tue,4,5,1,Gyeonggi,Car and Car,Violation of drivers laws,crossroad,a car,a car,1
2018,Day,Sat,1,1,0,Gyeonggi,Car and People,Violation of drivers laws,singleroad,a freight car,Pedestrian,1
2018,Night,Sun,1,1,0,Gyeonggi,Only Car,Violation of drivers laws,singleroad,a car,none,1
2018,Day,Sat,1,1,0,Gyeonggi,Car and Car,Violation of drivers laws,Other,a two-wheeled car,a car,1
2018,Night,Tue,1,1,0,Gyeonggi,Car and People,Violation of drivers laws,singleroad,a freight car,Pedestrian,1
2018,Day,Mon,1,1,0,Gyeonggi,Car and People,Violation of drivers laws,crossroad,a freight car,Pedestrian,1
2018,Day,Sat,1,1,0,Gyeonggi,Car and Car,Violation of drivers laws,crossroad,a two-wheeled car,a car,1
2018,Day,Fri,1,1,0,Gyeonggi,Car and People,Violation of drivers laws,crossroad,a car,Pedestrian,1
2018,Night,Sat,2,2,0,Gyeonggi,Car and Car,Violation of drivers laws,crossroad,a car,a car,1
2018,Night,Fri,1,5,4,Gyeonggi,Car and Car,Violation of drivers laws,crossroad,a freight car,a car,1
2018,Night,Sat,1,2,1,Gyeonggi,Car and People,Violation of drivers laws,singleroad,a car,Pedestrian,1
2018,Night,Sun,1,1,0,Gyeonggi,Car and People,Violation of drivers laws,crossroad,a car,Pedestrian,1
2018,Day,Tue,1,1,0,Gyeonggi,Car and People,Violation of drivers laws,singleroad,a car,Pedestrian,1
2018,Night,Tue,1,1,0,Gyeonggi,Car and People,Violation of drivers laws,crossroad,a van,Pedestrian,1
2018,Day,Tue,1,1,0,Gyeonggi,Only Car,Violation of drivers laws,singleroad,a car,none,1
2018,Day,Mon,1,1,0,Gyeonggi,Car and Car,Violation of drivers laws,crossroad,a freight car,자전거,1
2018,Day,Sat,1,1,0,Gyeonggi,Car and Car,Violation of drivers laws,singleroad,자전거,a car,1
2018,Day,Thu,1,1,0,Gyeonggi,Car and People,Violation of drivers laws,crossroad,a car,Pedestrian,1
2018,Night,Mon,1,1,0,Gyeonggi,Car and Car,Violation of drivers laws,crossroad,a two-wheeled car,a car,1
2018,Night,Fri,1,1,0,Gyeonggi,Car and People,Violation of drivers laws,singleroad,a car,Pedestrian,1
2018,Day,Wed,1,1,0,Gyeonggi,Car and Car,Violation of drivers laws,Other,a two-wheeled car,a car,1
2018,Day,Wed,1,1,0,Gyeonggi,Car and Car,Violation of drivers laws,singleroad,a freight car,자전거,1
2018,Night,Sat,1,1,0,Gyeonggi,Car and People,Violation of drivers laws,singleroad,a car,Pedestrian,1
2018,Night,Sun,1,1,0,Gyeonggi,Car and People,Violation of drivers laws,singleroad,a car,Pedestrian,1
2018,Day,Tue,1,1,0,Gyeonggi,Car and Car,Violation of drivers laws,singleroad,자전거,a freight car,1
2018,Day,Sun,1,10,9,Gyeonggi,Car and Car,Violation of drivers laws,singleroad,a car,a car,1
2018,Day,Fri,1,4,3,Seoul,Car and Car,Violation of drivers laws,singleroad,a freight car,a car,1
2018,Night,Sat,1,2,1,Gyeonggi,Car and Car,Violation of drivers laws,singleroad,a car,a van,1
2018,Day,Mon,1,4,3,Gyeonggi,Car and Car,Violation of drivers laws,singleroad,special car,a car,1
2018,Day,Tue,1,1,0,Gyeonggi,Car and People,Violation of drivers laws,singleroad,a van,Pedestrian,1
2018,Day,Fri,1,1,0,Gyeonggi,Car and Car,Violation of drivers laws,singleroad,a freight car,a freight car,1
2018,Night,Sun,1,2,1,Gyeonggi,Car and People,Violation of drivers laws,singleroad,a two-wheeled car,Pedestrian,1
2018,Night,Tue,1,2,1,Gyeonggi,Car and Car,Violation of drivers laws,singleroad,a car,construction machinery,1
2018,Day,Sat,1,1,0,Gyeonggi,Car and Car,Violation of drivers laws,crossroad,a van,자전거,1
2018,Night,Mon,1,1,0,Gyeonggi,Car and People,Violation of drivers laws,singleroad,a car,Pedestrian,1
2018,Day,Sat,1,2,1,Gangwon,Only Car,Violation of drivers laws,singleroad,a two-wheeled car,none,1
2018,Day,Thu,1,1,0,Gangwon,Car and People,Violation of drivers laws,singleroad,a car,Pedestrian,1
2018,Day,Wed,1,1,0,Gangwon,Car and People,Violation of drivers laws,singleroad,a freight car,Pedestrian,1
2018,Day,Tue,1,1,0,Gangwon,Car and People,Violation of drivers laws,주차장,a freight car,Pedestrian,1
2018,Day,Tue,1,1,0,Gangwon,Car and Car,Violation of drivers laws,Other,a car,a two-wheeled car,1
2018,Day,Wed,1,2,1,Gangwon,Only Car,Violation of drivers laws,Other,agricultural machinery,none,1
2018,Night,Fri,1,1,0,Gangwon,Car and People,Violation of drivers laws,crossroad,a car,Pedestrian,1
2018,Day,Sat,1,1,0,Gangwon,Car and People,Violation of drivers laws,Other,a car,Pedestrian,1
2018,Day,Mon,1,2,1,Gangwon,Car and Car,Violation of drivers laws,singleroad,a car,a car,1
2018,Day,Sat,2,2,0,Gangwon,Only Car,Violation of drivers laws,singleroad,a car,none,1
2018,Night,Sun,1,1,0,Gangwon,Only Car,Violation of drivers laws,singleroad,사륜오토바이(ATV),none,1
2018,Day,Sun,1,1,0,Gangwon,Only Car,Violation of drivers laws,singleroad,사륜오토바이(ATV),none,1
2018,Night,Sat,2,4,2,Gangwon,Car and Car,Violation of drivers laws,crossroad,a car,a freight car,1
2018,Day,Fri,1,1,0,Gangwon,Only Car,Violation of drivers laws,singleroad,a two-wheeled car,none,1
2018,Day,Sun,1,1,0,Gangwon,Car and Car,Violation of drivers laws,crossroad,a car,a two-wheeled car,1
2018,Night,Sat,1,1,0,Gangwon,Car and Car,Violation of drivers laws,singleroad,a car,자전거,1
2018,Night,Thu,1,1,0,Gangwon,Car and People,Violation of drivers laws,Other,a car,Pedestrian,1
2018,Night,Wed,1,1,0,Gangwon,Car and People,Violation of drivers laws,Other,a car,Pedestrian,1
2018,Day,Tue,1,1,0,Gangwon,Car and Car,Violation of drivers laws,crossroad,construction machinery,a two-wheeled car,1
2018,Night,Wed,1,1,0,Gangwon,Car and People,Violation of drivers laws,Other,a car,Pedestrian,1
2018,Night,Fri,1,1,0,Gangwon,Only Car,Violation of drivers laws,Other,a two-wheeled car,none,1
2018,Night,Fri,1,1,0,Gangwon,Only Car,Violation of drivers laws,singleroad,a car,none,1
2018,Day,Tue,1,1,0,Gangwon,Only Car,Violation of drivers laws,singleroad,a two-wheeled car,none,1
2018,Day,Wed,1,1,0,Gangwon,Car and Car,Violation of drivers laws,singleroad,a car,a two-wheeled car,1
2018,Night,Fri,1,2,1,Gangwon,Car and Car,Violation of drivers laws,Other,a freight car,a freight car,1
2018,Night,Wed,1,1,0,Chungbuk,Car and People,Violation of drivers laws,singleroad,a freight car,Pedestrian,1
2018,Day,Fri,1,1,0,Chungbuk,Car and People,Violation of drivers laws,crossroad,a freight car,Pedestrian,1
2018,Night,Tue,1,3,2,Chungbuk,Car and Car,Violation of drivers laws,crossroad,a car,a car,1
2018,Night,Sat,1,1,0,Chungbuk,Car and Car,Violation of drivers laws,crossroad,a two-wheeled car,a freight car,1
2018,Day,Wed,1,1,0,Chungbuk,Only Car,Violation of drivers laws,singleroad,a freight car,none,1
2018,Day,Thu,1,1,0,Chungbuk,Only Car,Violation of drivers laws,singleroad,자전거,none,1
2018,Night,Sun,2,2,0,Chungbuk,Only Car,Violation of drivers laws,singleroad,a car,none,1
2018,Day,Thu,1,2,1,Chungbuk,Car and Car,Violation of drivers laws,crossroad,a car,a freight car,1
2018,Night,Mon,1,1,0,Chungbuk,Car and People,Violation of drivers laws,singleroad,a car,Pedestrian,1
2018,Day,Thu,1,2,1,Chungbuk,Car and Car,Violation of drivers laws,crossroad,a car,a freight car,1
2018,Day,Mon,1,6,5,Chungbuk,Car and Car,Violation of drivers laws,singleroad,a freight car,a van,1
2018,Night,Fri,1,1,0,Chungbuk,Car and People,Violation of drivers laws,crossroad,a car,Pedestrian,1
2018,Day,Wed,1,1,0,Chungbuk,Car and Car,Violation of drivers laws,crossroad,a freight car,원동기장치자전거,1
2018,Day,Wed,1,1,0,Chungbuk,Only Car,Violation of drivers laws,singleroad,사륜오토바이(ATV),none,1
2018,Day,Thu,1,1,0,Chungbuk,Car and Car,Violation of drivers laws,crossroad,a car,a two-wheeled car,1
2018,Day,Sat,1,1,0,Chungbuk,Only Car,Violation of drivers laws,singleroad,agricultural machinery,none,1
2018,Night,Wed,1,1,0,Chungbuk,Only Car,Violation of drivers laws,Other,a car,none,1
2018,Night,Sun,1,1,0,Chungbuk,Only Car,Violation of drivers laws,singleroad,agricultural machinery,none,1
2018,Day,Fri,1,1,0,Chungbuk,Car and People,Violation of drivers laws,crossroad,a freight car,Pedestrian,1
2018,Night,Tue,1,2,1,Chungbuk,Car and Car,Violation of drivers laws,singleroad,special car,a freight car,1
2018,Night,Thu,1,1,0,Chungbuk,Car and People,Violation of drivers laws,singleroad,a freight car,Pedestrian,1
2018,Day,Fri,1,1,0,Chungcheongnam,Car and People,Violation of drivers laws,crossroad,a van,Pedestrian,1
2018,Night,Fri,1,1,0,Chungcheongnam,Car and People,Violation of drivers laws,singleroad,a car,Pedestrian,1
2018,Day,Thu,1,1,0,Chungcheongnam,Only Car,Violation of drivers laws,singleroad,a freight car,none,1
2018,Day,Mon,1,1,0,Chungcheongnam,Car and Car,Violation of drivers laws,singleroad,a car,자전거,1
2018,Night,Sat,1,1,0,Chungcheongnam,Car and Car,Violation of drivers laws,singleroad,자전거,a car,1
2018,Day,Mon,1,5,4,Chungcheongnam,Car and Car,Violation of drivers laws,singleroad,construction machinery,a car,1
2018,Night,Tue,1,2,1,Chungcheongnam,Car and Car,Violation of drivers laws,crossroad,a freight car,a van,1
2018,Day,Thu,1,1,0,Chungcheongnam,Car and People,Violation of drivers laws,Other,a car,Pedestrian,1
2018,Day,Thu,1,1,0,Chungcheongnam,Car and Car,Violation of drivers laws,singleroad,a freight car,사륜오토바이(ATV),1
2018,Night,Sun,1,2,1,Chungcheongnam,Only Car,Violation of drivers laws,Other,a car,none,1
2018,Day,Thu,1,2,1,Chungcheongnam,Only Car,Violation of drivers laws,singleroad,원동기장치자전거,none,1
2018,Night,Wed,1,1,0,Chungcheongnam,Car and Car,Violation of drivers laws,singleroad,자전거,a car,1
2018,Day,Mon,1,1,0,Chungcheongnam,Only Car,Violation of drivers laws,singleroad,a car,none,1
2018,Night,Sun,1,3,2,Chungcheongnam,Car and Car,Violation of drivers laws,singleroad,a two-wheeled car,a car,1
2018,Night,Thu,1,1,0,세종,Car and Car,Violation of drivers laws,crossroad,자전거,a car,1
2018,Day,Fri,1,1,0,세종,Car and Car,Violation of drivers laws,singleroad,a freight car,자전거,1
2018,Night,Sat,1,1,0,Chungcheongnam,Only Car,Violation of drivers laws,singleroad,a two-wheeled car,none,1
2018,Night,Sat,1,1,0,Chungcheongnam,Only Car,Violation of drivers laws,singleroad,a car,none,1
2018,Night,Mon,1,1,0,Chungcheongnam,Only Car,Violation of drivers laws,singleroad,a freight car,none,1
2018,Night,Tue,1,1,0,Chungcheongnam,Only Car,Violation of drivers laws,singleroad,사륜오토바이(ATV),none,1
2018,Day,Sat,1,1,0,Chungcheongnam,Car and People,Violation of drivers laws,singleroad,a freight car,Pedestrian,1
2018,Night,Sat,1,1,0,Chungcheongnam,Car and Car,Violation of drivers laws,singleroad,a car,special car,1
2018,Day,Wed,1,1,0,Chungcheongnam,Car and People,Violation of drivers laws,crossroad,a car,Pedestrian,1
2018,Night,Mon,1,1,0,Chungcheongnam,Car and Car,Violation of drivers laws,singleroad,원동기장치자전거,a freight car,1
2018,Night,Thu,1,1,0,Chungcheongnam,Car and Car,Violation of drivers laws,singleroad,a car,special car,1
2018,Day,Mon,1,1,0,Chungcheongnam,Only Car,Violation of drivers laws,Other,사륜오토바이(ATV),none,1
2018,Night,Mon,1,1,0,Chungcheongnam,Car and People,Violation of drivers laws,singleroad,a car,Pedestrian,1
2018,Day,Sat,1,2,1,Chungcheongnam,Car and Car,Violation of drivers laws,singleroad,a car,a car,1
2018,Night,Fri,1,1,0,Chungcheongnam,Car and People,Violation of drivers laws,singleroad,a car,Pedestrian,1
2018,Day,Sat,1,1,0,Chungcheongnam,Car and Car,Violation of drivers laws,singleroad,a freight car,a freight car,1
2018,Night,Sun,1,1,0,Chungcheongnam,Car and People,Violation of drivers laws,Other,a car,Pedestrian,1
2018,Night,Fri,1,1,0,Chungcheongnam,Car and Car,Violation of drivers laws,crossroad,a car,자전거,1
2018,Night,Sat,1,1,0,Chungcheongnam,Car and People,Violation of drivers laws,singleroad,a car,Pedestrian,1
2018,Night,Thu,1,1,0,Chungcheongnam,Car and People,Violation of drivers laws,Other,a freight car,Pedestrian,1
2018,Night,Sun,1,1,0,Chungcheongnam,Car and People,Violation of drivers laws,singleroad,a van,Pedestrian,1
2018,Day,Mon,1,1,0,Chungcheongnam,Only Car,Violation of drivers laws,singleroad,a freight car,none,1
2018,Night,Mon,1,4,3,Daejeon,Only Car,Violation of drivers laws,Other,a car,none,1
2018,Night,Tue,1,15,14,Chungcheongnam,Car and Car,Violation of drivers laws,singleroad,a van,a freight car,1
2018,Night,Thu,3,8,5,Chungbuk,Car and Car,Violation of drivers laws,singleroad,a car,special car,1
2018,Day,Sat,1,1,0,Jeonbuk,Car and Car,Violation of drivers laws,crossroad,a car,a two-wheeled car,1
2018,Day,Tue,1,8,7,Jeonbuk,Car and Car,Violation of drivers laws,singleroad,a car,a car,1
2018,Night,Sat,1,1,0,Jeonbuk,Car and People,Violation of drivers laws,crossroad,a car,Pedestrian,1
2018,Night,Fri,1,1,0,Jeonbuk,Car and People,Violation of drivers laws,singleroad,a car,Pedestrian,1
2018,Night,Thu,1,1,0,Jeonbuk,Car and People,Violation of drivers laws,crossroad,a car,Pedestrian,1
2018,Day,Tue,1,1,0,Jeonbuk,Car and Car,Violation of drivers laws,singleroad,a car,a two-wheeled car,1
2018,Night,Wed,1,1,0,Jeonbuk,Only Car,Violation of drivers laws,singleroad,a freight car,none,1
2018,Night,Fri,1,1,0,Jeonbuk,Only Car,Violation of drivers laws,crossroad,원동기장치자전거,none,1
2018,Night,Thu,1,1,0,Jeonbuk,Only Car,Violation of drivers laws,singleroad,a car,none,1
2018,Night,Tue,1,1,0,Jeonbuk,Only Car,Violation of drivers laws,singleroad,a car,none,1
2018,Night,Sat,2,2,0,Jeonbuk,Only Car,Violation of drivers laws,singleroad,a car,none,1
2018,Day,Fri,1,2,1,Jeonbuk,Only Car,Violation of drivers laws,singleroad,a freight car,none,1
2018,Day,Sat,1,1,0,Jeonbuk,Car and People,Violation of drivers laws,crossroad,a freight car,Pedestrian,1
2018,Night,Sat,1,1,0,Jeonbuk,Car and Car,Violation of drivers laws,crossroad,자전거,a car,1
2018,Day,Sun,1,1,0,Jeonbuk,Only Car,Violation of drivers laws,singleroad,a car,none,1
2018,Day,Mon,1,1,0,Jeonbuk,Only Car,Violation of drivers laws,singleroad,a freight car,none,1
2018,Night,Sun,1,1,0,Jeonbuk,Car and Car,Violation of drivers laws,singleroad,a car,special car,1
2018,Day,Wed,1,1,0,Jeonbuk,Car and Car,Violation of drivers laws,crossroad,a car,자전거,1
2018,Day,Sun,1,1,0,Jeonbuk,Only Car,Violation of drivers laws,singleroad,a freight car,none,1
2018,Night,Mon,1,1,0,Jeonbuk,Car and People,Violation of drivers laws,singleroad,a car,Pedestrian,1
2018,Day,Fri,1,2,1,Jeonbuk,Car and Car,Violation of drivers laws,singleroad,a car,a car,1
2018,Day,Sat,1,1,0,Jeonbuk,Car and People,Violation of drivers laws,crossroad,a car,Pedestrian,1
2018,Night,Sat,1,1,0,Jeonbuk,Car and People,Violation of drivers laws,crossroad,a car,Pedestrian,1
2018,Night,Mon,1,1,0,Jeonbuk,Only Car,Violation of drivers laws,singleroad,자전거,none,1
2018,Day,Sat,1,1,0,Jeonbuk,Car and Car,Violation of drivers laws,singleroad,a freight car,a two-wheeled car,1
2018,Day,Tue,1,1,0,Jeonbuk,Car and Car,Violation of drivers laws,singleroad,a freight car,a freight car,1
2018,Night,Wed,1,5,4,Chungcheongnam,Only Car,Violation of drivers laws,singleroad,a car,none,1
2018,Night,Mon,1,3,2,Chungcheongnam,Car and People,Violation of drivers laws,singleroad,a car,Pedestrian,1
2018,Night,Thu,1,2,1,Chungcheongnam,Car and Car,Violation of drivers laws,singleroad,a car,a freight car,1
2018,Day,Mon,1,1,0,Jeonnam,Car and People,Violation of drivers laws,Other,a freight car,Pedestrian,1
2018,Night,Sun,1,1,0,Jeonnam,Car and People,Violation of drivers laws,singleroad,a car,Pedestrian,1
2018,Night,Wed,1,3,2,Jeonnam,Car and Car,Violation of drivers laws,crossroad,a car,a car,1
2018,Night,Sun,1,1,0,Jeonnam,Car and People,Violation of drivers laws,crossroad,a car,Pedestrian,1
2018,Day,Tue,1,1,0,Jeonnam,Car and People,Violation of drivers laws,crossroad,a car,Pedestrian,1
2018,Day,Sat,1,1,0,Jeonnam,Car and People,Violation of drivers laws,singleroad,a car,Pedestrian,1
2018,Night,Mon,1,1,0,Jeonnam,Car and People,Violation of drivers laws,singleroad,a car,Pedestrian,1
2018,Day,Mon,1,1,0,Jeonnam,Car and People,Violation of drivers laws,singleroad,a freight car,Pedestrian,1
2018,Day,Mon,1,1,0,Jeonnam,Car and Car,Violation of drivers laws,singleroad,a van,농기계,1
2018,Day,Wed,1,2,1,Jeonnam,Car and Car,Violation of drivers laws,singleroad,a car,a freight car,1
2018,Day,Sat,1,1,0,Jeonnam,Car and People,Violation of drivers laws,singleroad,a freight car,Pedestrian,1
2018,Day,Mon,1,1,0,Jeonnam,Car and People,Violation of drivers laws,crossroad,a van,Pedestrian,1
2018,Night,Fri,1,3,2,Jeonnam,Car and Car,Violation of drivers laws,singleroad,a car,a freight car,1
2018,Day,Wed,1,1,0,Jeonnam,Car and Car,Violation of drivers laws,singleroad,사륜오토바이(ATV),a car,1
2018,Night,Sun,1,1,0,Jeonnam,Only Car,Violation of drivers laws,singleroad,a car,none,1
2018,Day,Wed,1,1,0,Jeonnam,Car and People,Violation of drivers laws,singleroad,a car,Pedestrian,1
2018,Day,Sat,1,1,0,Jeonnam,Car and Car,Violation of drivers laws,crossroad,a two-wheeled car,a freight car,1
2018,Night,Thu,1,1,0,Jeonnam,Car and Car,Violation of drivers laws,singleroad,a car,a freight car,1
2018,Day,Fri,1,2,1,Jeonnam,Car and Car,Violation of drivers laws,singleroad,a car,a car,1
2018,Day,Sun,1,1,0,Jeonnam,Only Car,Violation of drivers laws,singleroad,a car,none,1
2018,Day,Sun,1,1,0,Jeonnam,Only Car,Violation of drivers laws,singleroad,agricultural machinery,none,1
2018,Day,Thu,1,1,0,Jeonnam,Only Car,Violation of drivers laws,singleroad,a two-wheeled car,none,1
2018,Night,Sat,1,1,0,Jeonnam,Only Car,Violation of drivers laws,crossroad,agricultural machinery,none,1
2018,Day,Wed,1,2,1,Jeonnam,Only Car,Violation of drivers laws,singleroad,a car,none,1
2018,Night,Mon,1,1,0,Jeonnam,Only Car,Violation of drivers laws,crossroad,a car,none,1
2018,Day,Mon,1,1,0,Jeonnam,Car and Car,Violation of drivers laws,singleroad,a freight car,자전거,1
2018,Night,Fri,1,1,0,Jeonnam,Only Car,Violation of drivers laws,singleroad,a car,none,1
2018,Day,Thu,1,1,0,Jeonnam,Car and Car,Violation of drivers laws,crossroad,a car,a two-wheeled car,1
2018,Day,Sun,1,2,1,Jeonnam,Car and Car,Violation of drivers laws,Other,a freight car,a two-wheeled car,1
2018,Day,Fri,1,1,0,Jeonnam,Car and Car,Violation of drivers laws,crossroad,a freight car,사륜오토바이(ATV),1
2018,Night,Tue,1,1,0,Jeonnam,Only Car,Violation of drivers laws,singleroad,a freight car,none,1
2018,Night,Sun,1,1,0,Jeonnam,Car and People,Violation of drivers laws,singleroad,a car,Pedestrian,1
2018,Night,Sun,1,1,0,Jeonnam,Car and People,Violation of drivers laws,singleroad,a freight car,Pedestrian,1
2018,Day,Mon,1,1,0,Jeonbuk,Car and Car,Violation of drivers laws,singleroad,a freight car,a car,1
2018,Night,Tue,1,1,0,Gyeongbuk,Only Car,Violation of drivers laws,singleroad,a freight car,none,1
2018,Night,Tue,1,1,0,Gyeongbuk,Car and People,Violation of drivers laws,singleroad,a car,Pedestrian,1
2018,Night,Fri,1,1,0,Gyeongbuk,Car and People,Violation of drivers laws,crossroad,a car,Pedestrian,1
2018,Night,Wed,1,1,0,Gyeongbuk,Car and People,Violation of drivers laws,singleroad,a car,Pedestrian,1
2018,Night,Fri,1,1,0,Gyeongbuk,Car and Car,Violation of drivers laws,singleroad,사륜오토바이(ATV),a car,1
2018,Night,Fri,1,1,0,Gyeongbuk,Car and People,Violation of drivers laws,crossroad,a car,Pedestrian,1
2018,Night,Fri,1,1,0,Gyeongbuk,Car and People,Violation of drivers laws,singleroad,a two-wheeled car,Pedestrian,1
2018,Night,Thu,1,1,0,Gyeongbuk,Only Car,Violation of drivers laws,singleroad,a two-wheeled car,none,1
2018,Night,Tue,1,1,0,Gyeongbuk,Car and People,Violation of drivers laws,singleroad,a car,Pedestrian,1
